idiom,dict_page,pdf_page,raw_entry_head
Basket case,N/A,N/A,Basket case
Bat from the pavilion end,N/A,N/A,Bat from the pavilion end
Be a sport,N/A,N/A,Be a sport
Be glad to see the back of,N/A,N/A,Be glad to see the back of
Beach bum,N/A,N/A,Beach bum
Bean counter,N/A,N/A,Bean counter
Beauty contest,N/A,N/A,Beauty contest
Bedroom tax,N/A,N/A,Bedroom tax
Bells and whistles,N/A,N/A,Bells and whistles
Bend over backwards,N/A,N/A,Bend over backwards
Between the wars,N/A,N/A,Between the wars
Beyond price,N/A,N/A,Beyond price
Biblical,N/A,N/A,Biblical
Big fish in a small pond,N/A,N/A,Big fish in a small pond
Binge watch,N/A,N/A,Binge watch
Bitch slap,N/A,N/A,Bitch slap
Bite off more than you can chew,N/A,N/A,Bite off more than you can chew
Bite your tongue,N/A,N/A,Bite your tongue
Blood blister,N/A,N/A,Blood blister
Blood is thicker than water,N/A,N/A,Blood is thicker than water
Blow a raspberry,N/A,N/A,Blow a raspberry
Blue,N/A,N/A,Blue
Blue plate special,N/A,N/A,Blue plate special
Boat race,N/A,N/A,Boat race
Body,N/A,N/A,Body
Bottle and glass,N/A,N/A,Bottle and glass
Bought the farm,N/A,N/A,Bought the farm
Brahms and lizst,N/A,N/A,Brahms and lizst
Brass monkey weather,N/A,N/A,Brass monkey weather
Brass tacks,N/A,N/A,Brass tacks
Break a leg,N/A,N/A,Break a leg
Breast is best,N/A,N/A,Breast is best
Brighton pier,N/A,N/A,Brighton pier
Bring your a game,N/A,N/A,Bring your a game
Brown bread,N/A,N/A,Brown bread
Brown out,N/A,N/A,Brown out
Brum brum,N/A,N/A,Brum brum
Bucket list,N/A,N/A,Bucket list
Building,N/A,N/A,Building
Business,N/A,N/A,Business
Bust a move,N/A,N/A,Bust a move
Buy a lemon,N/A,N/A,Buy a lemon
Calendar year,N/A,N/A,Calendar year
Cant cut the mustard,N/A,N/A,Cant cut the mustard
Canteen culture,N/A,N/A,Canteen culture
Carbon footprint,N/A,N/A,Carbon footprint
Carpe diem,N/A,N/A,Carpe diem
Cast iron stomach,N/A,N/A,Cast iron stomach
Caught between two stools,N/A,N/A,Caught between two stools
Caught by the short hairs,N/A,N/A,Caught by the short hairs
Chaise lounge,N/A,N/A,Chaise lounge
Charley horse,N/A,N/A,Charley horse
Chasing tail,N/A,N/A,Chasing tail
Cherry ripe,N/A,N/A,Cherry ripe
Chicken feed,N/A,N/A,Chicken feed
Childhood,N/A,N/A,Childhood
Children,N/A,N/A,Children
Children should be seen and not heard,N/A,N/A,Children should be seen and not heard
China plate,N/A,N/A,China plate
Chow down,N/A,N/A,Chow down
City bike,N/A,N/A,City bike
Cliche,N/A,N/A,Cliche
Click bait,N/A,N/A,Click bait
Clock,N/A,N/A,Clock
Close but no cigar,N/A,N/A,Close but no cigar
Clothes,N/A,N/A,Clothes
Cloud cuckoo land,N/A,N/A,Cloud cuckoo land
Cock and bull story,N/A,N/A,Cock and bull story
Cockney rhyming slang,N/A,N/A,Cockney rhyming slang
Code monkey,N/A,N/A,Code monkey
Colour,N/A,N/A,Colour
Comedy,N/A,N/A,Comedy
Comfort women,N/A,N/A,Comfort women
Company man,N/A,N/A,Company man
Conflict,N/A,N/A,Conflict
Cop an attitude,N/A,N/A,Cop an attitude
Corduroy road,N/A,N/A,Corduroy road
Country,N/A,N/A,Country
Country house hotel,N/A,N/A,Country house hotel
Crack someone up,N/A,N/A,Crack someone up
Cream crackered,N/A,N/A,Cream crackered
Crime,N/A,N/A,Crime
Cross that bridge when you come to it,N/A,N/A,Cross that bridge when you come to it
Cross your fingers,N/A,N/A,Cross your fingers
Crunch time,N/A,N/A,Crunch time
Curiosity killed the cat,N/A,N/A,Curiosity killed the cat
Currant bun,N/A,N/A,Currant bun
Daily grind,N/A,N/A,Daily grind
Daisy roots,N/A,N/A,Daisy roots
Dance,N/A,N/A,Dance
Date,N/A,N/A,Date
Date rape,N/A,N/A,Date rape
Day surgery,N/A,N/A,Day surgery
Daylight saving time,N/A,N/A,Daylight saving time
Dead ringer,N/A,N/A,Dead ringer
Dead white european male,N/A,N/A,Dead white european male
Death,N/A,N/A,Death
Designated driver,N/A,N/A,Designated driver
Dial down,N/A,N/A,Dial down
Dicky dirt,N/A,N/A,Dicky dirt
Discussing uganda,N/A,N/A,Discussing uganda
Disgust,N/A,N/A,Disgust
Dog and bone,N/A,N/A,Dog and bone
Dog days of summer,N/A,N/A,Dog days of summer
Donkeys years,N/A,N/A,Donkeys years
Dont bite the hand that feeds you,N/A,N/A,Dont bite the hand that feeds you
Dont count your chickens before they hatch,N/A,N/A,Dont count your chickens before they hatch
Dont cry over spilt milk,N/A,N/A,Dont cry over spilt milk
Dont give up the day job,N/A,N/A,Dont give up the day job
Dont look a gift horse in the mouth,N/A,N/A,Dont look a gift horse in the mouth
Dont put all your eggs in one basket,N/A,N/A,Dont put all your eggs in one basket
Double denim,N/A,N/A,Double denim
Double header,N/A,N/A,Double header
Drink,N/A,N/A,Drink
Drink like a fish,N/A,N/A,Drink like a fish
Dropping like flies,N/A,N/A,Dropping like flies
Duvet day,N/A,N/A,Duvet day
Ear popping,N/A,N/A,Ear popping
Easy peasy,N/A,N/A,Easy peasy
Education,N/A,N/A,Education
Effort,N/A,N/A,Effort
Eighty six,N/A,N/A,Eighty six
Elbow grease,N/A,N/A,Elbow grease
Elephants trunk,N/A,N/A,Elephants trunk
Elvis has left the building,N/A,N/A,Elvis has left the building
Emotion,N/A,N/A,Emotion
Employment,N/A,N/A,Employment
Enhanced interrogation techniques,N/A,N/A,Enhanced interrogation techniques
Ethnic cleansing,N/A,N/A,Ethnic cleansing
Euphemism,N/A,N/A,Euphemism
Every cloud has a silver lining,N/A,N/A,Every cloud has a silver lining
Evil twin,N/A,N/A,Evil twin
Excellence,N/A,N/A,Excellence
Excess,N/A,N/A,Excess
Excuse my french,N/A,N/A,Excuse my french
Eyebrow raising,N/A,N/A,Eyebrow raising
Face card,N/A,N/A,Face card
Factory farming,N/A,N/A,Factory farming
Failure,N/A,N/A,Failure
Fairytale ending,N/A,N/A,Fairytale ending
Family,N/A,N/A,Family
Far cry from,N/A,N/A,Far cry from
Fashion,N/A,N/A,Fashion
Feeding frenzy,N/A,N/A,Feeding frenzy
Fell off the back of a lorry,N/A,N/A,Fell off the back of a lorry
Fiddlesticks,N/A,N/A,Fiddlesticks
Field day,N/A,N/A,Field day
Find your feet,N/A,N/A,Find your feet
Fire the imagination,N/A,N/A,Fire the imagination
First among equals,N/A,N/A,First among equals
First footing,N/A,N/A,First footing
First world,N/A,N/A,First world
First world problem,N/A,N/A,First world problem
Fixed in your ways,N/A,N/A,Fixed in your ways
Flea market,N/A,N/A,Flea market
Flea pit,N/A,N/A,Flea pit
Flip the bird,N/A,N/A,Flip the bird
Flog a dead horse,N/A,N/A,Flog a dead horse
Food,N/A,N/A,Food
Food fight,N/A,N/A,Food fight
Fools gold,N/A,N/A,Fools gold
French,N/A,N/A,French
Frock up,N/A,N/A,Frock up
Frog and toad,N/A,N/A,Frog and toad
Fruit,N/A,N/A,Fruit
Fuddy duddy,N/A,N/A,Fuddy duddy
Full monty,N/A,N/A,Full monty
Funny farm,N/A,N/A,Funny farm
Gee gee,N/A,N/A,Gee gee
Gender bender,N/A,N/A,Gender bender
George raft,N/A,N/A,George raft
Get a gold star,N/A,N/A,Get a gold star
Get on board,N/A,N/A,Get on board
Get out of hand,N/A,N/A,Get out of hand
Get over it,N/A,N/A,Get over it
Get your head around,N/A,N/A,Get your head around
Ginger beer,N/A,N/A,Ginger beer
Give him an inch and hell take a mile,N/A,N/A,Give him an inch and hell take a mile
Give the benefit of the doubt,N/A,N/A,Give the benefit of the doubt
Give the slip,N/A,N/A,Give the slip
Glass ceiling,N/A,N/A,Glass ceiling
Gnats bollock,N/A,N/A,Gnats bollock
Go ape shit,N/A,N/A,Go ape shit
Go belly up,N/A,N/A,Go belly up
Go down like a lead balloon,N/A,N/A,Go down like a lead balloon
Go out on a limb,N/A,N/A,Go out on a limb
Going to hell in a handbasket,N/A,N/A,Going to hell in a handbasket
Good samaritan,N/A,N/A,Good samaritan
Graveyard shift,N/A,N/A,Graveyard shift
Greasy spoon,N/A,N/A,Greasy spoon
Great minds think alike,N/A,N/A,Great minds think alike
Great scot,N/A,N/A,Great scot
Greek origin,N/A,N/A,Greek origin
Gregory peck,N/A,N/A,Gregory peck
Habit,N/A,N/A,Habit
Had a good war,N/A,N/A,Had a good war
Hair,N/A,N/A,Hair
Hair of the dog,N/A,N/A,Hair of the dog
Half inch,N/A,N/A,Half inch
Happiness,N/A,N/A,Happiness
Happy sad,N/A,N/A,Happy sad
Harry spankers,N/A,N/A,Harry spankers
Haste makes waste,N/A,N/A,Haste makes waste
Hat trick,N/A,N/A,Hat trick
Have a blast,N/A,N/A,Have a blast
Have a captain cook,N/A,N/A,Have a captain cook
He makes my flesh (or skin) crawl (or creep),N/A,N/A,He makes my flesh (or skin) crawl (or creep)
Head over heels,N/A,N/A,Head over heels
Hear it on the grapevine,N/A,N/A,Hear it on the grapevine
Heebie jeebies,N/A,N/A,Heebie jeebies
Hell bent,N/A,N/A,Hell bent
Help yourself,N/A,N/A,Help yourself
Hidden in plain sight,N/A,N/A,Hidden in plain sight
High and mighty,N/A,N/A,High and mighty
High on the hog,N/A,N/A,High on the hog
High season,N/A,N/A,High season
